BEN,Billed Entity Name,City,State,Applicant Type,C2 Budget Cycle,Child Entity Count,Library Square Footage,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
62185,NIAGARA BRANCH LIBRARY,NIAGARA,WI,Library,FY2021-2025,0,"1,500",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133318,GAYS MILLS PUBLIC LIBRARY,GAYS MILLS,WI,Library,FY2021-2025,0,"2,292",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133422,GRANTSBURG PUBLIC LIBRARY,GRANTSBURG,WI,Library,FY2021-2025,0,"5,000",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133210,DORCHESTER WEIX MEMORIAL LIB,DORCHESTER,WI,Library,FY2021-2025,0,"4,280",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132807,CUDAHY FAMILY LIBRARY,CUDAHY,WI,Library,FY2021-2025,0,"30,000",$4.50,"$135,000.00",Forecast,$0.00,$0.00,"$135,000.00"
132979,MOUNT HOREB PUBLIC LIBRARY,MOUNT HOREB,WI,Library,FY2021-2025,0,"16,000",$4.50,"$72,000.00",Forecast,$0.00,$0.00,"$72,000.00"
133217,GREENWOOD PUBLIC LIBRARY,GREENWOOD,WI,Library,FY2021-2025,0,"1,500",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133119,RIVER FALLS PUBLIC LIBRARY,RIVER FALLS,WI,Library,FY2021-2025,0,"36,000",$4.50,"$162,000.00",Forecast,$0.00,$0.00,"$162,000.00"
133125,WOODVILLE COMMUNITY LIBRARY,WOODVILLE,WI,Library,FY2021-2025,0,"4,416",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132846,NEW BERLIN PUBLIC LIBRARY,NEW BERLIN,WI,Library,FY2021-2025,0,"55,117",$4.50,"$248,026.50",Forecast,$0.00,$0.00,"$248,026.50"
133279,MERCER PUBLIC LIBRARY,MERCER,WI,Library,FY2021-2025,0,"5,350",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
232224,LESTER PUBLIC LIBRARY OF ROME,NEKOOSA,WI,Library,FY2021-2025,0,"2,500",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132844,MUSKEGO PUBLIC LIBRARY,MUSKEGO,WI,Library,FY2021-2025,0,"40,000",$4.50,"$180,000.00",Forecast,$0.00,$0.00,"$180,000.00"
133121,HAZEL MACKIN COMMUNITY LIBRARY,ROBERTS,WI,Library,FY2021-2025,0,"7,260",$4.50,"$32,670.00",Forecast,$0.00,$0.00,"$32,670.00"
147161,CAMERON PUBLIC LIBRARY,CAMERON,WI,Library,FY2021-2025,0,"3,360",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
17046475,STOCKBRIDGE MUNSEE COMMUNITY,BOWLER,WI,Library,FY2021-2025,0,"4,560",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133112,HUDSON PUBLIC LIBRARY,HUDSON,WI,Library,FY2021-2025,0,"19,024",$4.50,"$85,608.00",Forecast,$0.00,$0.00,"$85,608.00"
133111,HAMMOND COMMUNITY LIBRARY,HAMMOND,WI,Library,FY2021-2025,0,"2,300",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
225318,COMMUNITY LIBRARY- TWIN LAKES,TWIN LAKES,WI,Library,FY2021-2025,0,"6,280",$4.50,"$28,260.00",Forecast,$0.00,$0.00,"$28,260.00"
