BEN,Billed Entity Name,City,State,Applicant Type,Consulting Firm Name (CRN),C2 Budget Cycle,Child Entity Count,C2 Budget Algorithm,Full Time Students,Library Square Footage,School Student Multiplier,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
133199,ABBOTSFORD SCHOOL DISTRICT,ABBOTSFORD,WI,School District,CESA 10 (17026442),FY2026-2030,2,Per Site Basis School District,773,,$201.57 ,,"$155,813.61 ",Preliminary,$0.00 ,"$25,418.00 ","$130,395.61 "
133221,MARATHON CITY SCHOOL DISTRICT,MARATHON,WI,School District,CESA 9 (16062593),FY2026-2030,3,Per Site Basis School District,770,,$201.57 ,,"$155,208.90 ",Forecast,$0.00 ,$0.00 ,"$155,208.90 "
132939,DEERFIELD SCHOOL DISTRICT,DEERFIELD,WI,School District,,FY2026-2030,3,Per Site Basis School District,725,,$201.57 ,,"$155,148.40 ",Forecast,$0.00 ,$0.00 ,"$155,148.40 "
133399,WHITEHALL SCHOOL DISTRICT,WHITEHALL,WI,School District,CESA 10 (17026442),FY2026-2030,2,Per Site Basis School District,759,,$201.57 ,,"$152,991.63 ",Forecast,$0.00 ,$0.00 ,"$152,991.63 "
61035,NOTRE DAME SCHOOL OF MILWAUKEE - BLESSED THERESA CAMPUS,MILWAUKEE,WI,School,"ERateProgram, LLC (16048902)",FY2026-2030,0,Independent School,756,,$201.57 ,,"$152,386.92 ",Forecast,$0.00 ,$0.00 ,"$152,386.92 "
133130,COLEMAN SCHOOL DISTRICT,COLEMAN,WI,School District,Federal Funds Assistant (16062923),FY2026-2030,3,Per Site Basis School District,741,,$201.57 ,,"$150,915.43 ",Forecast,$0.00 ,$0.00 ,"$150,915.43 "
17003545,"COUNCIL FOR THE SPANISH SPEAKING, INC. (CENTRO HISPANO MILWAUKEE)",MILWAUKEE,WI,School District,,FY2026-2030,5,School District Wide (Aggregate Funding Floor),185,,$201.57 ,,"$150,875.00 ",Forecast,$0.00 ,$0.00 ,"$150,875.00 "
16073084,"WOOD COUNTY HEAD START, INC.",WISCONSIN RAPIDS,WI,School District,E Rate Solutions Group Inc (16043598),FY2026-2030,5,School District Wide (Aggregate Funding Floor),213,,$201.57 ,,"$150,875.00 ",Forecast,$0.00 ,$0.00 ,"$150,875.00 "
133386,OSSEO-FAIRCHILD SCHOOL DIST,OSSEO,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,747,,$201.57 ,,"$150,572.79 ",Forecast,$0.00 ,$0.00 ,"$150,572.79 "
132753,KOHLER SCHOOL DISTRICT,KOHLER,WI,School District,,FY2026-2030,3,Per Site Basis School District,747,,$201.57 ,,"$150,572.79 ",Forecast,$0.00 ,$0.00 ,"$150,572.79 "
63220,FOX VALLEY LUTHERAN HIGH SCH,APPLETON,WI,School,,FY2026-2030,0,Independent School,745,,$201.57 ,,"$150,169.65 ",Forecast,$0.00 ,$0.00 ,"$150,169.65 "
